,rxn,lb,ub
530,ARBabc,-100.0,100.0
531,ARBt2r,-100.0,100.0
532,ARGabc,-100.0,100.0
533,ARGORNt7,-100.0,100.0
534,ASNabc,-100.0,100.0
535,ASNt2r,-100.0,100.0
536,ASPabc,-100.0,100.0
537,ASPt2,-100.0,100.0
538,ATPS4r,-100.0,100.0
539,Cex,-100.0,100.0
540,CHLabc,-100.0,100.0
541,CHLt2r,-100.0,100.0
542,CO2t,-100.0,100.0
543,CYTBD,-100.0,100.0
544,CYTBO3,-100.0,100.0
545,DMSOR1e,-100.0,100.0
546,DMSOR2e,-100.0,100.0
547,FDH2,-100.0,100.0
548,FDH3,-100.0,100.0
549,FORt,-100.0,100.0
550,FRUpts,-100.0,100.0
551,FRUpts2,-100.0,100.0
552,FUMt22,-100.0,100.0
553,GALabc,-100.0,100.0
554,GALt2,-100.0,100.0
555,GLCDe,-100.0,100.0
556,GLCNt2r,-100.0,100.0
557,GLCpts,-100.0,100.0
558,GLCt2,-100.0,100.0
559,GLUabc,-100.0,100.0
560,GLUABUTt7,-100.0,100.0
561,GLUt2r,-100.0,100.0
562,GLUt4,-100.0,100.0
563,GLYBabc,-100.0,100.0
564,GLYBt2r,-100.0,100.0
565,GLYC3Pabc,-100.0,100.0
566,GLYC3Pt6,-100.0,100.0
567,H2Ot,-100.0,100.0
568,HISabc,-100.0,100.0
569,HISt2r,-100.0,100.0
570,Ht,-100.0,100.0
571,HYD1,-100.0,100.0
572,HYD2,-100.0,100.0
573,HYD3,-100.0,100.0
574,ILEabc,-100.0,100.0
575,ILEt2r,-100.0,100.0
576,Kabc,-100.0,100.0
577,Kt2r,-100.0,100.0
578,LEUabc,-100.0,100.0
579,LEUt2r,-100.0,100.0
580,LYSabc,-100.0,100.0
581,LYSt2r,-100.0,100.0
582,NADH6,-100.0,100.0
583,NADH7,-100.0,100.0
584,NADH8,-100.0,100.0
585,NAt31,-100.0,100.0
586,NH3t,-100.0,100.0
587,NMNP,-100.0,100.0
588,NMNt7,-100.0,100.0
589,NO3R1,-100.0,100.0
590,NO3R2,-100.0,100.0
591,O2t,-100.0,100.0
592,ORNabc,-100.0,100.0
593,PIabc,-100.0,100.0
594,PIt2r,-100.0,100.0
595,PROabc,-100.0,100.0
596,PROt2r,-100.0,100.0
597,PROt4,-100.0,100.0
598,PTRCabc,-100.0,100.0
599,PTRCORNt7,-100.0,100.0
600,PTRCt2r,-100.0,100.0
601,SERt2r,-100.0,100.0
602,SERt4,-100.0,100.0
603,SUCCabc,-100.0,100.0
604,SUCCt22,-100.0,100.0
605,SUCFUMt,-100.0,100.0
606,SULabc,-100.0,100.0
607,THD2,-100.0,100.0
608,THRabc,-100.0,100.0
609,THRt2r,-100.0,100.0
610,THRt4,-100.0,100.0
611,TMAOR1e,-100.0,100.0
612,TMAOR2e,-100.0,100.0
613,TREpts,-100.0,100.0
614,VALabc,-100.0,100.0
615,VALt2r,-100.0,100.0
616,XYLabc,-100.0,100.0
617,XYLt2,-100.0,100.0
618,biomass_ce,-100.0,100.0
619,biomass_EX,0.670839382285755,0.7018798083485249
620,OROTex,-100.0,100.0
621,DCTA,-100.0,100.0
622,EX_oro,0.261884198060484,0.35540588204754797
